name,dataset,subnets,h_size,seed,acc,train_time,test_time
lenet-pae-elm,0,3,100,3456,0.9677,3.9627444744110107,0.9270665645599365
lenet-pae-elm,0,3,100,5,0.9667,3.9456071853637695,0.9237155914306641
lenet-pae-elm,0,3,100,6677,0.969,3.946115016937256,0.9278881549835205
lenet-pae-elm,0,3,100,876,0.9678,3.9514286518096924,0.9070620536804199
lenet-pae-elm,0,3,100,213,0.9707,3.9613518714904785,0.8948163986206055
lenet-pae-elm,0,3,100,5444,0.9694,3.9736812114715576,0.8947265148162842
lenet-pae-elm,0,5,100,22,0.9751,5.287409067153931,0.9623737335205078
lenet-pae-elm,0,5,100,432,0.9726,5.3016979694366455,0.9542591571807861
lenet-pae-elm,0,5,100,63,0.9751,5.296115875244141,0.95528244972229
lenet-pae-elm,0,5,100,754,0.9732,5.28659725189209,0.9528930187225342
lenet-pae-elm,0,5,100,3456,0.9744,5.3048176765441895,0.9520189762115479
lenet-pae-elm,0,5,100,5,0.9766,5.287934303283691,0.9569108486175537
lenet-pae-elm,0,5,100,6677,0.9746,5.296360969543457,0.9541876316070557
lenet-pae-elm,0,5,100,876,0.9737,5.288219213485718,0.9519269466400146
lenet-pae-elm,0,5,100,213,0.9751,5.310906887054443,0.9647393226623535
lenet-pae-elm,0,5,100,5444,0.9751,5.288707256317139,0.9544956684112549
lenet-pae-elm,0,7,100,22,0.9767,6.643181800842285,1.018258810043335
lenet-pae-elm,0,7,100,432,0.9773,6.652048110961914,1.0125620365142822
lenet-pae-elm,0,7,100,63,0.9765,6.675215244293213,1.0536534786224365
lenet-pae-elm,0,7,100,754,0.9767,6.640768527984619,1.00189208984375
lenet-pae-elm,0,7,100,3456,0.9768,6.5586998462677,1.0092673301696777
lenet-pae-elm,0,7,100,5,0.9756,6.556113958358765,1.00600004196167
lenet-pae-elm,0,7,100,6677,0.975,6.545481204986572,1.0062267780303955
lenet-pae-elm,0,7,100,876,0.9743,6.545467853546143,1.0035231113433838
lenet-pae-elm,0,7,100,213,0.9786,6.55448579788208,1.0057809352874756
lenet-pae-elm,0,7,100,5444,0.9768,6.549655199050903,1.004408597946167
lenet-pae-elm,0,9,100,22,0.9794,7.893428802490234,1.0665490627288818
lenet-pae-elm,0,9,100,432,0.9789,7.883273124694824,1.0674991607666016
lenet-pae-elm,0,9,100,63,0.9762,7.894204616546631,1.0664448738098145
lenet-pae-elm,0,9,100,754,0.9761,7.884218215942383,1.07059645652771
lenet-pae-elm,0,9,100,3456,0.9792,7.9082725048065186,1.0701913833618164
lenet-pae-elm,0,9,100,5,0.9781,7.919397592544556,1.0628952980041504
lenet-pae-elm,0,9,100,6677,0.979,7.90325665473938,1.068277359008789
lenet-pae-elm,0,9,100,876,0.9792,7.890306711196899,1.0751290321350098
lenet-pae-elm,0,9,100,213,0.9793,7.895559549331665,1.0667693614959717
lenet-pae-elm,0,9,100,5444,0.9801,7.896950721740723,1.0680177211761475
lenet-pae-elm,0,1,300,22,0.9682,3.2871110439300537,0.8754372596740723
lenet-pae-elm,0,1,300,432,0.9657,3.2824337482452393,0.8797030448913574
lenet-pae-elm,0,1,300,63,0.9646,3.2714293003082275,0.8943231105804443
lenet-pae-elm,0,1,300,754,0.966,3.2430131435394287,0.9086620807647705
lenet-pae-elm,0,1,300,3456,0.962,3.2560787200927734,0.8787779808044434
lenet-pae-elm,0,1,300,5,0.9683,3.272739887237549,0.8771984577178955
lenet-pae-elm,0,1,300,6677,0.9665,3.277712821960449,0.8781921863555908
lenet-pae-elm,0,1,300,876,0.9672,3.2718939781188965,0.8778254985809326
